Retrieved by E4-util: 2009/01/20,14:01:58                            1 0  0    0
 1.606000+2 3.000000+0 1.318300-1 7.148600-2 6.034300-2 0.000000+07531 2151   48
 1.637000+2 3.000000+0 6.617100-2 5.828600-3 6.034300-2 0.000000+07531 2151   49
 1.685000+2 2.000000+0 6.394300-2 3.600000-3 6.034300-2 0.000000+07531 2151   50
 1.720000+2 3.000000+0 8.194300-2 2.160000-2 6.034300-2 0.000000+07531 2151   51
 1.733000+2 2.000000+0 7.474300-2 1.440000-2 6.034300-2 0.000000+07531 2151   52
 1.784000+2 3.000000+0 9.857100-2 3.822900-2 6.034300-2 0.000000+07531 2151   53
 1.806000+2 3.000000+0 6.565700-2 5.314300-3 6.034300-2 0.000000+07531 2151   54
 1.839000+2 2.000000+0 1.035400-1 4.320000-2 6.034300-2 0.000000+07531 2151   55
 1.924000+2 3.000000+0 7.654300-2 1.620000-2 6.034300-2 0.000000+07531 2151   56
 1.954000+2 2.000000+0 6.262300-2 2.280000-3 6.034300-2 0.000000+07531 2151   57
 1.983000+2 3.000000+0 6.480000-2 4.457100-3 6.034300-2 0.000000+07531 2151   58
 2.041000+2 2.000000+0 9.754300-2 3.720000-2 6.034300-2 0.000000+07531 2151   59
 2.105000+2 3.000000+0 7.628600-2 1.594300-2 6.034300-2 0.000000+07531 2151   60
 2.124000+2 3.000000+0 7.491400-2 1.457100-2 6.034300-2 0.000000+07531 2151   61
 2.188000+2 2.000000+0 9.442300-2 3.408000-2 6.034300-2 0.000000+07531 2151   62
 2.235000+2 3.000000+0 8.948600-2 2.914300-2 6.034300-2 0.000000+07531 2151   63
 2.243000+2 2.000000+0 1.172200-1 5.688000-2 6.034300-2 0.000000+07531 2151   64
 2.303000+2 3.000000+0 7.157100-2 1.122900-2 6.034300-2 0.000000+07531 2151   65
 2.311000+2 3.000000+0 6.642900-2 6.085700-3 6.034300-2 0.000000+07531 2151   66
 2.361000+2 2.000000+0 1.023400-1 4.200000-2 6.034300-2 0.000000+07531 2151   67
 2.367000+2 3.000000+0 9.462900-2 3.428600-2 6.034300-2 0.000000+07531 2151   68
 2.417000+2 2.000000+0 6.430300-2 3.960000-3 6.034300-2 0.000000+07531 2151   69
 2.438000+2 3.000000+0 9.840000-2 3.805700-2 6.034300-2 0.000000+07531 2151   70
 2.505000+2 2.000000+0 8.254300-2 2.220000-2 6.034300-2 0.000000+07531 2151   71
 2.531000+2 3.000000+0 6.625700-2 5.914300-3 6.034300-2 0.000000+07531 2151   72
 2.549000+2 3.000000+0 9.034300-2 3.000000-2 6.034300-2 0.000000+07531 2151   73
 2.559000+2 2.000000+0 1.011400-1 4.080000-2 6.034300-2 0.000000+07531 2151   74
 2.578000+2 3.000000+0 1.532600-1 9.291400-2 6.034300-2 0.000000+07531 2151   75
 2.601000+2 2.000000+0 6.466300-2 4.320000-3 6.034300-2 0.000000+07531 2151   76
 2.669000+2 3.000000+0 1.074900-1 4.714300-2 6.034300-2 0.000000+07531 2151   77
 2.711000+2 3.000000+0 1.061100-1 4.577100-2 6.034300-2 0.000000+07531 2151   78
 2.796000+2 2.000000+0 6.346300-2 3.120000-3 6.034300-2 0.000000+07531 2151   79
 2.839000+2 3.000000+0 6.162900-2 1.285700-3 6.034300-2 0.000000+07531 2151   80
 2.911000+2 2.000000+0 1.239400-1 6.360000-2 6.034300-2 0.000000+07531 2151   81
 2.944000+2 3.000000+0 6.677100-2 6.428600-3 6.034300-2 0.000000+07531 2151   82
 2.959000+2 2.000000+0 7.186300-2 1.152000-2 6.034300-2 0.000000+07531 2151   83
 3.001000+2 3.000000+0 6.814300-2 7.800000-3 6.034300-2 0.000000+07531 2151   84
 3.047000+2 3.000000+0 7.217100-2 1.182900-2 6.034300-2 0.000000+07531 2151   85
 3.076000+2 2.000000+0 2.127400-1 1.524000-1 6.034300-2 0.000000+07531 2151   86
 3.095000+2 3.000000+0 6.642900-2 6.085700-3 6.034300-2 0.000000+07531 2151   87
 3.175000+2 2.000000+0 1.241800-1 6.384000-2 6.034300-2 0.000000+07531 2151   88
 3.188000+2 3.000000+0 9.685700-2 3.651400-2 6.034300-2 0.000000+07531 2151   89
 3.219000+2 3.000000+0 1.203400-1 6.000000-2 6.034300-2 0.000000+07531 2151   90
 3.244000+2 2.000000+0 9.154300-2 3.120000-2 6.034300-2 0.000000+07531 2151   91
 3.306000+2 3.000000+0 1.253100-1 6.497100-2 6.034300-2 0.000000+07531 2151   92
 3.331000+2 2.000000+0 1.448200-1 8.448000-2 6.034300-2 0.000000+07531 2151   93
 3.355000+2 3.000000+0 6.342900-2 3.085700-3 6.034300-2 0.000000+07531 2151   94
 3.385000+2 2.000000+0 6.454300-2 4.200000-3 6.034300-2 0.000000+07531 2151   95
 3.420000+2 3.000000+0 1.066300-1 4.628600-2 6.034300-2 0.000000+07531 2151   96
 3.500000+2 3.000000+0 6.488600-2 4.542900-3 6.034300-2 0.000000+07531 2151   97
 3.549000+2 2.000000+0 6.646300-2 6.120000-3 6.034300-2 0.000000+07531 2151   98
 3.585000+2 3.000000+0 6.488600-2 4.542900-3 6.034300-2 0.000000+07531 2151   99
 3.636000+2 2.000000+0 7.882300-2 1.848000-2 6.034300-2 0.000000+07531 2151  100
 3.668000+2 3.000000+0 6.128600-2 9.428600-4 6.034300-2 0.000000+07531 2151  101
 3.725000+2 3.000000+0 6.102900-2 6.857100-4 6.034300-2 0.000000+07531 2151  102
 3.741000+2 2.000000+0 6.274300-2 2.400000-3 6.034300-2 0.000000+07531 2151  103
 3.785000+2 3.000000+0 6.222900-2 1.885700-3 6.034300-2 0.000000+07531 2151  104
 3.815000+2 2.000000+0 1.563400-1 9.600000-2 6.034300-2 0.000000+07531 2151  105
 3.839000+2 3.000000+0 7.920000-2 1.885700-2 6.034300-2 0.000000+07531 2151  106
 3.859000+2 2.000000+0 6.238300-2 2.040000-3 6.034300-2 0.000000+07531 2151  107
 3.919000+2 3.000000+0 9.120000-2 3.085700-2 6.034300-2 0.000000+07531 2151  108
 3.998000+2 3.000000+0 7.397100-2 1.362900-2 6.034300-2 0.000000+07531 2151  109
 4.030000+2 2.000000+0 1.983400-1 1.380000-1 6.034300-2 0.000000+07531 2151  110
 4.058000+2 3.000000+0 9.908600-2 3.874300-2 6.034300-2 0.000000+07531 2151  111
 4.103000+2 2.000000+0 6.334300-2 3.000000-3 6.034300-2 0.000000+07531 2151  112
 4.151000+2 3.000000+0 6.222900-2 1.885700-3 6.034300-2 0.000000+07531 2151  113
 4.200000+2 3.000000+0 2.592000-1 1.988600-1 6.034300-2 0.000000+07531 2151  114
 4.310000+2 2.000000+0 6.874300-2 8.400000-3 6.034300-2 0.000000+07531 2151  115
 4.330000+2 3.000000+0 2.677700-1 2.074300-1 6.034300-2 0.000000+07531 2151  116
 4.390000+2 2.000000+0 1.496200-1 8.928000-2 6.034300-2 0.000000+07531 2151  117
 4.460000+2 3.000000+0 1.229100-1 6.257100-2 6.034300-2 0.000000+07531 2151  118
 4.480000+2 2.000000+0 2.739400-1 2.136000-1 6.034300-2 0.000000+07531 2151  119
 4.600000+2 3.000000+0 8.605700-2 2.571400-2 6.034300-2 0.000000+07531 2151  120
 4.620000+2 3.000000+0 1.889100-1 1.285700-1 6.034300-2 0.000000+07531 2151  121
 4.690000+2 2.000000+0 6.658300-2 6.240000-3 6.034300-2 0.000000+07531 2151  122
 4.700000+2 3.000000+0 1.198300-1 5.948600-2 6.034300-2 0.000000+07531 2151  123
 4.830000+2 2.000000+0 1.539400-1 9.360000-2 6.034300-2 0.000000+07531 2151  124
 4.850000+2 3.000000+0 8.228600-2 2.194300-2 6.034300-2 0.000000+07531 2151  125
 4.960000+2 3.000000+0 9.120000-2 3.085700-2 6.034300-2 0.000000+07531 2151  126
 5.120000+2 2.000000+0 1.138600-1 5.352000-2 6.034300-2 0.000000+07531 2151  127
 5.150000+2 3.000000+0 8.297100-2 2.262900-2 6.034300-2 0.000000+07531 2151  128
 5.190000+2 2.000000+0 1.261000-1 6.576000-2 6.034300-2 0.000000+07531 2151  129
 5.220000+2 3.000000+0 6.651400-2 6.171400-3 6.034300-2 0.000000+07531 2151  130
 5.310000+2 2.000000+0 2.043400-1 1.440000-1 6.034300-2 0.000000+07531 2151  131
 5.350000+2 3.000000+0 1.357700-1 7.542900-2 6.034300-2 0.000000+07531 2151  132
 5.430000+2 3.000000+0 6.865700-2 8.314300-3 6.034300-2 0.000000+07531 2151  133
 5.460000+2 2.000000+0 7.954300-2 1.920000-2 6.034300-2 0.000000+07531 2151  134
 5.490000+2 3.000000+0 8.211400-2 2.177100-2 6.034300-2 0.000000+07531 2151  135
 5.530000+2 2.000000+0 7.990300-2 1.956000-2 6.034300-2 0.000000+07531 2151  136
 5.570000+2 3.000000+0 7.988600-2 1.954300-2 6.034300-2 0.000000+07531 2151  137
 5.610000+2 3.000000+0 1.666300-1 1.062900-1 6.034300-2 0.000000+07531 2151  138
 5.700000+2 2.000000+0 8.194300-2 2.160000-2 6.034300-2 0.000000+07531 2151  139
 5.810000+2 3.000000+0 6.128600-2 9.428600-4 6.034300-2 0.000000+07531 2151  140
 5.840000+2 2.000000+0 3.627400-1 3.024000-1 6.034300-2 0.000000+07531 2151  141
 5.880000+2 3.000000+0 6.291400-2 2.571400-3 6.034300-2 0.000000+07531 2151  142
 5.920000+2 2.000000+0 2.067400-1 1.464000-1 6.034300-2 0.000000+07531 2151  143
 5.970000+2 3.000000+0 2.163400-1 1.560000-1 6.034300-2 0.000000+07531 2151  144
 5.990000+2 3.000000+0 1.460600-1 8.571400-2 6.034300-2 0.000000+07531 2151  145
 6.020000+2 2.000000+0 9.226300-2 3.192000-2 6.034300-2 0.000000+07531 2151  146
 6.070000+2 3.000000+0 8.091400-2 2.057100-2 6.034300-2 0.000000+07531 2151  147
 6.120000+2 2.000000+0 1.419400-1 8.160000-2 6.034300-2 0.000000+07531 2151  148
 6.150000+2 3.000000+0 8.862900-2 2.828600-2 6.034300-2 0.000000+07531 2151  149
 6.220000+2 3.000000+0 8.091400-2 2.057100-2 6.034300-2 0.000000+07531 2151  150
 6.250000+2 2.000000+0 6.454300-2 4.200000-3 6.034300-2 0.000000+07531 2151  151
 6.270000+2 3.000000+0 1.092000-1 4.885700-2 6.034300-2 0.000000+07531 2151  152
 6.360000+2 2.000000+0 1.071400-1 4.680000-2 6.034300-2 0.000000+07531 2151  153
 6.380000+2 3.000000+0 6.617100-2 5.828600-3 6.034300-2 0.000000+07531 2151  154
 6.410000+2 2.000000+0 7.918300-2 1.884000-2 6.034300-2 0.000000+07531 2151  155
 6.430000+2 3.000000+0 7.122900-2 1.088600-2 6.034300-2 0.000000+07531 2151  156
 6.470000+2 3.000000+0 7.354300-2 1.320000-2 6.034300-2 0.000000+07531 2151  157
 6.510000+2 2.000000+0 1.287400-1 6.840000-2 6.034300-2 0.000000+07531 2151  158
 6.560000+2 3.000000+0 8.862900-2 2.828600-2 6.034300-2 0.000000+07531 2151  159
 6.610000+2 2.000000+0 1.131400-1 5.280000-2 6.034300-2 0.000000+07531 2151  160
 6.650000+2 3.000000+0 7.285700-2 1.251400-2 6.034300-2 0.000000+07531 2151  161
 6.670000+2 3.000000+0 6.942900-2 9.085700-3 6.034300-2 0.000000+07531 2151  162
 6.680000+2 2.000000+0 1.179400-1 5.760000-2 6.034300-2 0.000000+07531 2151  163
 6.720000+2 3.000000+0 9.720000-2 3.685700-2 6.034300-2 0.000000+07531 2151  164
 6.760000+2 2.000000+0 1.167400-1 5.640000-2 6.034300-2 0.000000+07531 2151  165
 6.890000+2 3.000000+0 1.152000-1 5.485700-2 6.034300-2 0.000000+07531 2151  166
 6.940000+2 2.000000+0 1.215400-1 6.120000-2 6.034300-2 0.000000+07531 2151  167
 6.950000+2 3.000000+0 6.874300-2 8.400000-3 6.034300-2 0.000000+07531 2151  168
 6.970000+2 3.000000+0 1.126300-1 5.228600-2 6.034300-2 0.000000+07531 2151  169
 7.060000+2 2.000000+0 1.119400-1 5.160000-2 6.034300-2 0.000000+07531 2151  170
 7.070000+2 3.000000+0 7.491400-2 1.457100-2 6.034300-2 0.000000+07531 2151  171
 7.140000+2 2.000000+0 9.154300-2 3.120000-2 6.034300-2 0.000000+07531 2151  172
 7.180000+2 3.000000+0 9.034300-2 3.000000-2 6.034300-2 0.000000+07531 2151  173
 7.270000+2 3.000000+0 9.205700-2 3.171400-2 6.034300-2 0.000000+07531 2151  174
 7.400000+2 2.000000+0 7.486300-2 1.452000-2 6.034300-2 0.000000+07531 2151  175
 7.480000+2 3.000000+0 8.434300-2 2.400000-2 6.034300-2 0.000000+07531 2151  176
 7.500000+2 2.000000+0 8.794300-2 2.760000-2 6.034300-2 0.000000+07531 2151  177
 7.520000+2 3.000000+0 7.748600-2 1.714300-2 6.034300-2 0.000000+07531 2151  178
 7.590000+2 2.000000+0 1.383400-1 7.800000-2 6.034300-2 0.000000+07531 2151  179
 7.630000+2 3.000000+0 1.023400-1 4.200000-2 6.034300-2 0.000000+07531 2151  180
 7.650000+2 3.000000+0 7.208600-2 1.174300-2 6.034300-2 0.000000+07531 2151  181
 7.690000+2 2.000000+0 6.262300-2 2.280000-3 6.034300-2 0.000000+07531 2151  182
 7.770000+2 3.000000+0 6.437100-2 4.028600-3 6.034300-2 0.000000+07531 2151  183
 7.780000+2 2.000000+0 6.154300-2 1.200000-3 6.034300-2 0.000000+07531 2151  184
 7.810000+2 3.000000+0 1.143400-1 5.400000-2 6.034300-2 0.000000+07531 2151  185
 7.850000+2 3.000000+0 1.212000-1 6.085700-2 6.034300-2 0.000000+07531 2151  186
 7.910000+2 2.000000+0 7.918300-2 1.884000-2 6.034300-2 0.000000+07531 2151  187
 8.080000+2 3.000000+0 9.377100-2 3.342900-2 6.034300-2 0.000000+07531 2151  188
 8.090000+2 2.000000+0 8.278300-2 2.244000-2 6.034300-2 0.000000+07531 2151  189
 8.120000+2 3.000000+0 1.014900-1 4.114300-2 6.034300-2 0.000000+07531 2151  190
 8.190000+2 2.000000+0 6.466300-2 4.320000-3 6.034300-2 0.000000+07531 2151  191
 8.210000+2 3.000000+0 8.948600-2 2.914300-2 6.034300-2 0.000000+07531 2151  192
 8.240000+2 3.000000+0 9.634300-2 3.600000-2 6.034300-2 0.000000+07531 2151  193
 8.260000+2 2.000000+0 6.257500-2 2.232000-3 6.034300-2 0.000000+07531 2151  194
 8.300000+2 3.000000+0 7.234300-2 1.200000-2 6.034300-2 0.000000+07531 2151  195
 8.360000+2 2.000000+0 1.407400-1 8.040000-2 6.034300-2 0.000000+07531 2151  196
 8.420000+2 3.000000+0 8.005700-2 1.971400-2 6.034300-2 0.000000+07531 2151  197
 8.470000+2 3.000000+0 7.748600-2 1.714300-2 6.034300-2 0.000000+07531 2151  198
 8.490000+2 2.000000+0 6.442300-2 4.080000-3 6.034300-2 0.000000+07531 2151  199
 8.550000+2 3.000000+0 1.160600-1 5.571400-2 6.034300-2 0.000000+07531 2151  200
 8.670000+2 2.000000+0 6.991900-2 9.576000-3 6.034300-2 0.000000+07531 2151  201
 8.690000+2 3.000000+0 1.049100-1 4.457100-2 6.034300-2 0.000000+07531 2151  202
 8.760000+2 2.000000+0 6.682300-2 6.480000-3 6.034300-2 0.000000+07531 2151  203
 8.800000+2 3.000000+0 8.262900-2 2.228600-2 6.034300-2 0.000000+07531 2151  204
 8.840000+2 3.000000+0 1.160600-1 5.571400-2 6.034300-2 0.000000+07531 2151  205
 8.880000+2 2.000000+0 1.035400-1 4.320000-2 6.034300-2 0.000000+07531 2151  206
 8.930000+2 3.000000+0 9.720000-2 3.685700-2 6.034300-2 0.000000+07531 2151  207
