              WISSHAK, REF 18, FROM 40 KEV TO 300 KEV.  ENDF IV   9440 1451   76
              ABOVE 300 KEV.                                      9440 1451   77
  MF=4,MT=2,16-18,51-69,91 ANGULAR DISTRIBUTIONS FROM ENDF/B-V    9440 1451   78
              EVALUATION OF PU-242 BY MADLAND AND YOUNG, REF 29.  9440 1451   79
  MF=5,MT=455 DELAYED NEUTRON SECONDARY ENERGY DISTRIBUTION       9440 1451   80
     T.R.ENGLAND ET AL,LA-11151-MS(1988),LA-11534-T(1989)         9440 1451   81
     LAURA-88-4118, TO BE PUBLISHED IN                            9440 1451   82
     NUCLEAR SCIENCE AND ENGINEERING                              9440 1451   83
  *          *          *          *          *                   9440 1451   84
 MF=12, 13, 14, AND 15                                            9440 1451   85
   THE GAMMA-RAY FILES WERE EVALUATED BY HUNTER AND STEWART (LASL)9440 1451   86
   IN 1972 AND ARE DESCRIBED IN LA-4901.  THESE DATA WERE INPUT IN9440 1451   87
   VERSION III AND HAVE SURVIVED THROUGH VERSIONS IV AND V.  THEY 9440 1451   88
   HAVE NOT BEEN CHANGED FOR VERSION VI.  BELOW 1.09 MEV, HOWEVER,9440 1451   89
   GAMMA RAY MULTIPLICITIES WERE USED IN MF=12 FOR RADIATIVE      9440 1451   90
   CAPTURE, INELASTIC, AND FISSION; THEREFORE CURRENT IMPROVEMENTS9440 1451   91
   IN THIS ENERGY RANGE ARE REFLECTED IN THE GAMMA-RAY PRODUCTION 9440 1451   92
   CROSS SECTIONS CALCULATED FOR VERSION VI.  MF=12 INCLUDES MT=4 9440 1451   93
   CONTRIBUTRIONS FOR DISCRETE GAMMAS FROM INELASTIC SCATTERING.  9440 1451   94
   ABOVE 1.09 MEV, MF=13 IS USED THROUGHOUT.  ALL GAMMA RAYS ARE  9440 1451   95
   ASSUMED ISOTROPIC.                                             9440 1451   96
********************       NOTE                                   9440 1451   97
              UNCERTAINTIES UNCHANGED FROM REV. 2 OF VERSION V    9440 1451   98
  MF=32,MT=151 RES. PARAM. ERROR FILE FROM 0.5 TO 105 EV..        9440 1451   99
              ERRORS BASED ON DIFFERENCE IN MEASUREMENTS BECAUSE  9440 1451  100
              QUOTED ERRORS NOT CONSISTENT IN REF 9,10,11.        9440 1451  101
              PARAMETERS OF 1 EV RESONANCE HIGHLY CORRELATED.     9440 1451  102
  MF=33,MT=18  FROM REVISION TO ENDF/B-V, DEC. 1982, BY           9440 1451  103
              L. W. WESTON, REF 30. LB=8 ADDED 11/89              9440 1451  104
  MF=33,MT=102 SEE MT=18.  LB=8 ADDED 11/89.                      9440 1451  105
 REFERENCES                                                       9440 1451  106
  1.S.A.COX,"DELAYED NEUTRON DATA-REVIEW AND EVALUATION,"         9440 1451  107
    ANL/NDM-5, ARGONNE NAT. LAB.(1974).                           9440 1451  108
  2.R.E.HUNTER,L.STEWART AND T.J.HIRONS LA-5172 (JUNE,1973).      9440 1451  109
  3.R.E.HUNTER AND L.STEWART LA-4901 (JULY,1972).                 9440 1451  110
  4.J.FREHAUT ET AL.,PROC. SECOND ALL-UNION CONF. NEUTRON PHYSICS,9440 1451  111
    PART 3,153(1974).                                             9440 1451  112
  5.SHER +BECK EPRI NP-1771/81 +REV 1/83 +PC TO MAGURNO 2/83      9440 1451  113
  6.M.LOUNSBURY,R.W.DURHAM,G.C.HANNA,"MEASUREMENTS OF ALPHA AND OF9440 1451  114
    FISSION CROSS-SECTION RATIOS FOR U-233,U-235 AND PU-239 AT    9440 1451  115
    THERMAL ENERGIES,"P.287,NUC. DATA FOR REAC.,IAEA CONF.(1970). 9440 1451  116
  7.H.I.LIOU AND R.E.CHRIEN,"NEUTRON CROSS SECTIONS AND DOPPLER   9440 1451  117
    EFFECT OF THE 1.056 EV RESONANCE IN 240PU,"TO BE PUBLISHED.   9440 1451  118
  8.R.R.SPENCER ET AL.,"NEUTRON TOTAL CROSS SECTIONS OF 240PU     9440 1451  119
    BELOW 6 EV AND THE PARAMETERS OF THE 1.056-EV RESONANCE," PROC9440 1451  120
    INT. CONF. NUCLEAR DATA FOR BASIC AND APPLIED SCIENCE,        9440 1451  121
    MAY 13-17,1985,SANTA FE, TO BE PUBLISHED.                     9440 1451  122
  9.H.WEIGMANN AND J.P.THEOBALD,J.NUCL.ENERGY 26,643(1972). ALSO  9440 1451  123
    W.KOLAR AND K.H.BOCKHOFF,J.NUCL.ENERGY 22,299(1968), ALSO     9440 1451  124
    H.WEIGMANN,G.ROHR,AND F.POORTMANS,PROC.CONF.RESONANCE PARAM.OF9440 1451  125
    FERTILE NUCLEI AND 239-PU,SACLAY,219,NEANDC(E) 163U (1974).   9440 1451  126
  10.M.MOXON, SEE REF 9.                                          9440 1451  127
  11.R.W.HOCKENBURY,W.R.MOYER,AND R.C.BLOCK,NSE,49,153(1972).     9440 1451  128
  12.L.W.WESTON AND J.H.TODD,NUCL.SCI.ENG.,88,567(1984).          9440 1451  129
  13.E.MIGNECO AND J.P.THEOBALD,NUCL.PHYS.,A112,603(1968).        9440 1451  130
  14.G.F.AUCHAMPAUGH AND L.W.WESTON,PHYS.REV.,C12,1850(1975).     9440 1451  131
  15.F.H.FROEHNER,KERNFORSCHUNGSZENTRUM,KARLSRUHE,PRIV. COM.(1982)9440 1451  132
  16.E.M.PENNINGTON,ARGONNE NAT. LAB., PRIVATE COMM.(1973).       9440 1451  133
  17.L.W.WESTON AND J.H.TODD,NUCL.SCI.ENG. 63,143(1977).          9440 1451  134
  18.K.WISSHAK AND F. KAEPPELER,NUCL.SCI.ENG.,66,363(1978).       9440 1451  135
  19.R.GWIN,OAK RIDGE NAT. LAB.,PRIVATE COMMUNICATION.(1985).     9440 1451  136
  20.W.P.POENITZ, J.P.WHALEN AND A.B.SMITH, NSE 78,333(1981).     9440 1451  137
  21. CH. LAGRANGE AND J. JARY, "COHERENT OPTICAL AND STATISTICAL 9440 1451  138
      MODEL CALCULATIONS OF NEUTRON CROSS SECTIONS FOR PU240 AND  9440 1451  139
      PU242 BETWEEN 10 KEV AND 20 MEV," NEANDC(E) 198 "L",        9440 1451  140
      INDC(FR) 30/L, BRUYERES-LE-CHATEL, FRANCE (1978).           9440 1451  141
