 1.175000+6 7.579800+0 1.200000+6 7.498700+0 1.225000+6 7.394500+0 228 3  1   19
 1.250000+6 7.272100+0 1.275000+6 7.136200+0 1.300000+6 6.990900+0 228 3  1   20
 1.325000+6 6.839500+0 1.350000+6 6.685000+0 1.375000+6 6.529500+0 228 3  1   21
 1.400000+6 6.374800+0 1.450000+6 6.073500+0 1.500000+6 5.788200+0 228 3  1   22
 1.550000+6 5.522600+0 1.600000+6 5.277900+0 1.650000+6 5.053900+0 228 3  1   23
 1.700000+6 4.849600+0 1.750000+6 4.663600+0 1.800000+6 4.494300+0 228 3  1   24
 1.850000+6 4.340100+0 1.900000+6 4.199600+0 1.950000+6 4.071300+0 228 3  1   25
 2.000000+6 3.954100+0 2.050000+6 3.846700+0 2.100000+6 3.748200+0 228 3  1   26
 2.150000+6 3.657600+0 2.200000+6 3.574100+0 2.250000+6 3.497100+0 228 3  1   27
 2.300000+6 3.425900+0 2.350000+6 3.359800+0 2.400000+6 3.298600+0 228 3  1   28
 2.450000+6 3.241600+0 2.500000+6 3.188500+0 2.550000+6 3.138900+0 228 3  1   29
 2.600000+6 3.092500+0 2.650000+6 3.049100+0 2.700000+6 3.008400+0 228 3  1   30
 2.750000+6 2.970100+0 2.800000+6 2.934000+0 2.850000+6 2.900000+0 228 3  1   31
 2.900000+6 2.867900+0 2.950000+6 2.837500+0 3.000000+6 2.808700+0 228 3  1   32
 3.100000+6 2.755400+0 3.200000+6 2.707000+0 3.300000+6 2.662700+0 228 3  1   33
 3.400000+6 2.622100+0 3.500000+6 2.584400+0 3.600000+6 2.549400+0 228 3  1   34
 3.700000+6 2.516500+0 3.800000+6 2.485500+0 3.900000+6 2.456100+0 228 3  1   35
 4.000000+6 2.428000+0 4.100000+6 2.401100+0 4.200000+6 2.375300+0 228 3  1   36
 4.300000+6 2.350300+0 4.400000+6 2.326000+0 4.500000+6 2.302400+0 228 3  1   37
 4.600000+6 2.279400+0 4.700000+6 2.256900+0 4.800000+6 2.234900+0 228 3  1   38
 4.900000+6 2.213200+0 5.000000+6 2.191900+0 5.100000+6 2.171000+0 228 3  1   39
 5.200000+6 2.150400+0 5.300000+6 2.130100+0 5.400000+6 2.110000+0 228 3  1   40
 5.500000+6 2.090300+0 5.600000+6 2.070700+0 5.700000+6 2.051500+0 228 3  1   41
 5.800000+6 2.032400+0 5.900000+6 2.013600+0 6.000000+6 1.995000+0 228 3  1   42
 6.100000+6 1.976700+0 6.200000+6 1.958600+0 6.300000+6 1.940700+0 228 3  1   43
 6.400000+6 1.923000+0 6.500000+6 1.905500+0 6.600000+6 1.888300+0 228 3  1   44
