 1001	 1001
 1002	 1002
 2003	 2003
 2004	 2004
 3006	 3006
 3007	 3007
 4009	 4009
 5010	 5010
 5011	 5011
 6000	 6000
 7014	 7014
 7015	 7015
 8016	 8016
 8017	 8017
 8018	 8018
 9019	 9019
10020	10020
10021	10021
10022	10022
11023	11023
12024	12024
12025	12025
12026	12026
13027	13027
14028	14028
14029	14029
14030	14030
15031	15031
16032	16032
16033	16033
16034	16034
16036	16036
17035	17035
17037	17037
18036	18036
18038	18038
18040	18040
19039	19039
19041	19041
20040	20040
20042	20042
20043	20043
20044	20044
20046	20046
21045	21045
22046	22046
22047	22047
22048	22048
22049	22049
22050	22050
23051	23051
24050	24050
24052	24052
24053	24053
24054	24054
